#run_accession	run_names	group	sample	description
ERR1823567	EM_1	Experimental mixture	EM_1	Experimental mixture containing 99% Bos taurus and 1% Lactuca sativa
ERR1823568	EM_2	Experimental mixture	EM_2	Experimental mixture containing 90% Bos taurus and 10% Lactuca sativa
ERR1823569	EM_3	Experimental mixture	EM_3	Experimental mixture containing 1% Bos taurus and 99% Lactuca sativa
ERR1823570	EM_4	Experimental mixture	EM_4	Experimental mixture containing 10% Bos taurus and 90% Lactuca sativa
ERR1823571	EM_5	Experimental mixture	EM_5	Experimental mixture containing 99% Bos taurus and 1% Aloe variegata
ERR1823572	EM_6	Experimental mixture	EM_6	Experimental mixture containing 95% Bos taurus, 1% Parapenaeopsis sp., 1% Anguilla anguilla, 1% Crocodylus niloticus, 1% Gallus gallus domesticus and 1% Pieris brassicae
ERR1823573	EM_7	Experimental mixture	EM_7	Experimental mixture containing 85% Bos taurus, 3% Parapenaeopsis sp., 3% Anguilla anguilla, 3% Crocodylus niloticus, 3% Gallus gallus domesticus and 3% Pieris brassicae
ERR1823574	EM_8	Experimental mixture	EM_8	Experimental mixture containing 1% Echinocactus sp., 1% Euphorbia sp., 1% Aloe variegata, 1% Dendrobium sp., 1% Cycas revoluta and 95% Lactuca sativa
ERR1823575	EM_9	Experimental mixture	EM_9	Experimental mixture containing 3% Echinocactus sp., 3% Euphorbia sp., 3% Aloe variegata, 3% Dendrobium sp., 3% Cycas revoluta and 85% Lactuca sativa
ERR1823576;ERR1823577	EM_10;EM_10R	Experimental mixture	EM_10	Experimental mixture containing 10% Bos taurus, 10% Parapenaeopsis sp., 10% Anguilla anguilla, 10% Crocodylus niloticus, 10% Gallus gallus domesticus, 10% Pieris brassicae, 10% Echinocactus sp., 10% Euphorbia sp., 10% Aloe variegata, 10% Dendrobium sp., 10% Cycas revoluta and 10% Lactuca sativa
ERR1823578;ERR1823579	EM_11;EM_11R	Experimental mixture	EM_11	Experimental mixture containing 46% Bos taurus, 1% Parapenaeopsis sp., 1% Anguilla anguilla, 1% Crocodylus niloticus, 1% Gallus gallus domesticus, 1% Pieris brassicae, 1% Echinocactus sp., 1% Euphorbia sp., 1% Aloe variegata, 1% Dendrobium sp., 1% Cycas revoluta and 46% Lactuca sativa
ERR1823580	EM_12	Experimental mixture	EM_12	Experimental mixture containing 95% Bos taurus, 1% Echinocactus sp., 1% Euphorbia sp., 1% Aloe variegata, 1% Dendrobium sp. and 1% Cycas revoluta
ERR1823581	EM_13	Experimental mixture	EM_13	Experimental mixture containing 85% Bos taurus 3% Echinocactus sp., 3% Euphorbia sp., 3% Aloe variegata, 3% Dendrobium sp. and 3% Cycas revoluta
ERR1823582	EM_14	Experimental mixture	EM_14	Experimental mixture containing 1% Parapenaeopsis sp., 1% Anguilla anguilla, 1% Crocodylus niloticus, 1% Gallus gallus domesticus, 1% Pieris brassicae and 95% Lactuca sativa
ERR1823583	EM_15	Experimental mixture	EM_15	Experimental mixture containing 3% Parapenaeopsis sp., 3% Anguilla anguilla, 3% Crocodylus niloticus, 3% Gallus gallus domesticus, 3% Pieris brassicae and 85% Lactuca sativa
ERR1824060;ERR1824061;ERR1824062;ERR1824063;ERR1824064;ERR1824065;ERR1824066;ERR1824067;ERR1824068;ERR1824069;ERR1824070;ERR1824071;ERR1824072;ERR1824073;ERR1824074;ERR1824075	S1_Lab_1;S1_Lab_2;S1_Lab_3;S1_Lab_4;S1_Lab_5;S1_Lab_6;S1_Lab_7;S1_Lab_8;S1_Lab_9;S1_Lab_10;S1_Lab_11;S1_Lab_12;S1_Lab_13;S1_Lab_14;S1_Lab_15;S1_Lab_16	Interlaboratory trial	S1	Experimental mixture containing 1% Zea mays, 1% Glycine max, 1% Aloe variegata, 1% Dendrobium sp., 1% Huso dauricus, 1% Crocodylus niloticus, 47% Brassica oleracea and 47% Bos taurus, in dry weight percentages.
ERR1824076;ERR1824077;ERR1824078;ERR1824079;ERR1824080;ERR1824081;ERR1824082;ERR1824083;ERR1824084;ERR1824085;ERR1824086;ERR1824087;ERR1824088;ERR1824089;ERR1824090;ERR1824091	S2_Lab_1;S2_Lab_2;S2_Lab_3;S2_Lab_4;S2_Lab_5;S2_Lab_6;S2_Lab_7;S2_Lab_8;S2_Lab_9;S2_Lab_10;S2_Lab_11;S2_Lab_12;S2_Lab_13;S2_Lab_14;S2_Lab_15;S2_Lab_16	Interlaboratory trial	S2	Experimental mixture containing 1% Zea mays, 1% Gossypium hirsutum, 2% Aloe variegata, 2% Dendrobium sp., 2% Huso dauricus, 2% Crocodylus niloticus, 45% Brassica oleracea and 45% Bos taurus, in dry weight percentages.
ERR1824092;ERR1824093;ERR1824094;ERR1824095;ERR1824096;ERR1824097;ERR1824098;ERR1824099;ERR1824100;ERR1824101;ERR1824102;ERR1824103;ERR1824104;ERR1824105;ERR1824106;ERR1824107	S3_Lab_1;S3_Lab_2;S3_Lab_3;S3_Lab_4;S3_Lab_5;S3_Lab_6;S3_Lab_7;S3_Lab_8;S3_Lab_9;S3_Lab_10;S3_Lab_11;S3_Lab_12;S3_Lab_13;S3_Lab_14;S3_Lab_15;S3_Lab_16	Interlaboratory trial	S3	Traditional medicine with the following ingredients on the label: Herba Cistanches, Cauda cervi, Radix Rehmanniae praeparata, Radix Ginseng, Radix morindae Officinalis, Semen Cuscutae, Radix Achyranthis bidentatae, Rhizoma Cibotii, Semen Platycladi, Cortex Eucommiae, Radix Astragali, Fructus Schisandrae chinensis, Cortex Cinnamomi and Cornu Cervi Pantotrichum
ERR1824108;ERR1824109;ERR1824110;ERR1824111;ERR1824112;ERR1824113;ERR1824114;ERR1824115;ERR1824116;ERR1824117;ERR1824118;ERR1824119;ERR1824120;ERR1824121;ERR1824122;ERR1824123	S4_Lab_1;S4_Lab_2;S4_Lab_3;S4_Lab_4;S4_Lab_5;S4_Lab_6;S4_Lab_7;S4_Lab_8;S4_Lab_9;S4_Lab_10;S4_Lab_11;S4_Lab_12;S4_Lab_13;S4_Lab_14;S4_Lab_15;S4_Lab_16	Interlaboratory trial	S4	Experimental mixture containing 1% Zea mays, 1% Brassica napus, 3% Aloe variegata, 3% Dendrobium sp., 3% Huso dauricus, 3% Crocodylus niloticus, 43% Brassica oleracea and 43% Bos taurus, in dry weight percentages.
ERR1824124;ERR1824125;ERR1824126;ERR1824127;ERR1824128;ERR1824129;ERR1824130;ERR1824131;ERR1824132;ERR1824133;ERR1824134;ERR1824135;ERR1824136;ERR1824137;ERR1824138;ERR1824139	S5_Lab_1;S5_Lab_2;S5_Lab_3;S5_Lab_4;S5_Lab_5;S5_Lab_6;S5_Lab_7;S5_Lab_8;S5_Lab_9;S5_Lab_10;S5_Lab_11;S5_Lab_12;S5_Lab_13;S5_Lab_14;S5_Lab_15;S5_Lab_16	Interlaboratory trial	S5	Experimental mixture containing 1% Zea mays, 1% Triticum aestivum, 4% Aloe variegata, 4% Dendrobium sp., 4% Huso dauricus, 4% Crocodylus niloticus, 41% Brassica oleracea and 41% Bos taurus, in dry weight percentages.
ERR1824140;ERR1824141;ERR1824142;ERR1824143;ERR1824144;ERR1824145;ERR1824146;ERR1824147;ERR1824148;ERR1824149;ERR1824150;ERR1824151;ERR1824152;ERR1824153;ERR1824154;ERR1824155	S6_Lab_1;S6_Lab_2;S6_Lab_3;S6_Lab_4;S6_Lab_5;S6_Lab_6;S6_Lab_7;S6_Lab_8;S6_Lab_9;S6_Lab_10;S6_Lab_11;S6_Lab_12;S6_Lab_13;S6_Lab_14;S6_Lab_15;S6_Lab_16	Interlaboratory trial	S6	Experimental mixture containing 1% Zea mays, 1% Beta vulgaris, 1% Aloe variegata, 1% Dendrobium sp., 1% Huso dauricus, 1% Crocodylus niloticus, 10% Lactuca sativa, 32% Brassica oleracea, 10% Sus scrofa, 32% Bos taurus and 10% Pleuronectes platessa, in dry weight percentages.
ERR1824156;ERR1824157;ERR1824158;ERR1824159;ERR1824160;ERR1824161;ERR1824162;ERR1824163;ERR1824164;ERR1824165;ERR1824166;ERR1824167;ERR1824168;ERR1824169;ERR1824170;ERR1824171	S7_Lab_1;S7_Lab_2;S7_Lab_3;S7_Lab_4;S7_Lab_5;S7_Lab_6;S7_Lab_7;S7_Lab_8;S7_Lab_9;S7_Lab_10;S7_Lab_11;S7_Lab_12;S7_Lab_13;S7_Lab_14;S7_Lab_15;S7_Lab_16	Interlaboratory trial	S7	Experimental mixture containing 1% Zea mays, 1% Meleagris gallopavo, 2% Aloe variegata, 2% Dendrobium sp., 2% Huso dauricus, 2% Crocodylus niloticus, 10% Lactuca sativa, 30% Brassica oleracea, 10% Sus scrofa, 30% Bos taurus and 10% Pleuronectes platessa, in dry weight percentages.
ERR1824174;ERR1824175;ERR1824176;ERR1824177;ERR1824178;ERR1824179;ERR1824180;ERR1824181;ERR1824182;ERR1824183;ERR1824184;ERR1824185;ERR1824186;ERR1824187;ERR1824188;ERR1824189	S8_Lab_1;S8_Lab_2;S8_Lab_3;S8_Lab_4;S8_Lab_5;S8_Lab_6;S8_Lab_7;S8_Lab_8;S8_Lab_9;S8_Lab_10;S8_Lab_11;S8_Lab_12;S8_Lab_13;S8_Lab_14;S8_Lab_15;S8_Lab_16	Interlaboratory trial	S8	Traditional medicine with the following ingredients on the label: Kola nut, Siberian ginseng, horny goat weed, Catuaba, Muria puama, Korean ginseng, Damiana, Saw palmetto, Yohimbe and Magnesium stearate
ERR1824579;ERR1824580;ERR1824581;ERR1824582;ERR1824583;ERR1824584;ERR1824585;ERR1824586;ERR1824587;ERR1824588;ERR1824589;ERR1824590;ERR1824591;ERR1824592;ERR1824593;ERR1824594	S9_Lab_1;S9_Lab_2;S9_Lab_3;S9_Lab_4;S9_Lab_5;S9_Lab_6;S9_Lab_7;S9_Lab_8;S9_Lab_9;S9_Lab_10;S9_Lab_11;S9_Lab_12;S9_Lab_13;S9_Lab_14;S9_Lab_15;S9_Lab_16	Interlaboratory trial	S9	Experimental mixture containing 1% Zea mays, 1% Carica papaya, 2% Aloe variegata, 2% Dendrobium sp., 2% Huso dauricus, 2% Crocodylus niloticus, 10% Lactuca sativa, 30% Brassica oleracea, 10% Sus scrofa, 30% Bos taurus and 10% Pleuronectes platessa, in dry weight percentages.
ERR1824619;ERR1824620;ERR1824621;ERR1824622;ERR1824623;ERR1824624;ERR1824625;ERR1824626;ERR1824627;ERR1824628;ERR1824629;ERR1824630;ERR1824631;ERR1824632;ERR1824633;ERR1824634	S10_Lab_1;S10_Lab_2;S10_Lab_3;S10_Lab_4;S10_Lab_5;S10_Lab_6;S10_Lab_7;S10_Lab_8;S10_Lab_9;S10_Lab_10;S10_Lab_11;S10_Lab_12;S10_Lab_13;S10_Lab_14;S10_Lab_15;S10_Lab_16	Interlaboratory trial	S10	Experimental mixture containing 1% Zea mays, 1% Solanum lycopersicum, 4% Aloe variegata, 4% Dendrobium sp., 4% Huso dauricus, 4% Crocodylus niloticus, 10% Lactuca sativa, 26% Brassica oleracea, 10% Sus scrofa, 26% Bos taurus and 10% Pleuronectes platessa, in dry weight percentages.
