Caption	Genus	Expected	COI	18S	12S
100 Pool 1	Acizzia	0.99	0.992802252875758	0.996681996046634	0.99827311370882
100 Pool 1	Bactericera	0.01	0.00719774712424228	0.00331800395336641	0.0017268862911796
100 Pool 1	Diuraphis	0	0	0	0
100 Pool 1	Metopolophium	0	0	0	0
100 Pool 1	Rhopalosiphum	0	0	0	0
250 Pool 1	Acizzia	0.996	0.994570617970246	1	0.999153912754413
250 Pool 1	Bactericera	0.004	0.00542938202975359	0	0.000846087245586918
250 Pool 1	Diuraphis	0	0	0	0
250 Pool 1	Metopolophium	0	0	0	0
250 Pool 1	Rhopalosiphum	0	0	0	0
500 Pool 1	Acizzia	0.998	0.988076002699773	1	0.99794874176594
500 Pool 1	Bactericera	0.002	0.011923997300227	0	0.00205125823406018
500 Pool 1	Diuraphis	0	0	0	0
500 Pool 1	Metopolophium	0	0	0	0
500 Pool 1	Rhopalosiphum	0	0	0	0
1000 Pool 1	Acizzia	0.999	0.995252939221799	0.997321046242918	1
1000 Pool 1	Bactericera	0.001	0	0	0
1000 Pool 1	Diuraphis	0	0.0047470607782015	0.00267895375708224	0
1000 Pool 1	Metopolophium	0	0	0	0
1000 Pool 1	Rhopalosiphum	0	0	0	0
100 Pool 2	Acizzia	0	0	0	0
100 Pool 2	Bactericera	0	0	0	0
100 Pool 2	Diuraphis	0.01	0.00494235110633176	0.00338297862315597	0.00317585366454122
100 Pool 2	Metopolophium	0.05	0.0150383257726281	0.0757919138329902	0.056820699672567
100 Pool 2	Rhopalosiphum	0.94	0.98001932312104	0.920825107543854	0.940003446662892
250 Pool 2	Acizzia	0	0	0	0
250 Pool 2	Bactericera	0	0	0	0
250 Pool 2	Diuraphis	0.004	0.00206714359065768	0	0.00113906312058332
250 Pool 2	Metopolophium	0.056	0.0304023525175964	0.0749819538017324	0.107753872439918
250 Pool 2	Rhopalosiphum	0.94	0.967530503891746	0.925018046198268	0.891107064439498
500 Pool 2	Acizzia	0	0	0	0
500 Pool 2	Bactericera	0	0	0	0
500 Pool 2	Diuraphis	0.002	0.00168960564368674	0.00207992256921921	0
500 Pool 2	Metopolophium	0.05	0.0274678718289392	0.0147592129243505	0.090348284282226
500 Pool 2	Rhopalosiphum	0.948	0.970842522527374	0.98316086450643	0.909651715717774
1000 Pool 2	Acizzia	0	0	0	0
1000 Pool 2	Bactericera	0	0	0	0
1000 Pool 2	Diuraphis	0.001	0.00049934114709758	0.000449487175994661	0
1000 Pool 2	Metopolophium	0.05	0.014510368264096	0.00893253606113026	0.0519096220879203
1000 Pool 2	Rhopalosiphum	0.949	0.984990290588806	0.990617976762875	0.94809037791208
100 Pool 3	Acizzia	0.45	0.0705930353364768	0.448433358038276	0.525410004900881
100 Pool 3	Bactericera	0.05	0.185204191080284	0.071766342774259	0.424444744337351
100 Pool 3	Diuraphis	0.01	0.0066794816251162	0.00684084409059287	0
100 Pool 3	Metopolophium	0.15	0.0642963199757721	0.0737010580687404	0.0149725479611623
100 Pool 3	Rhopalosiphum	0.34	0.673226971982351	0.399258397028132	0.0351727028006052
250 Pool 3	Acizzia	0.476	0.454575294043386	0.525487115021999	0.906650528454406
250 Pool 3	Bactericera	0.02	0.127161402991984	0.157385292269013	0.074727127326172
250 Pool 3	Diuraphis	0.004	0.0268436888505481	0	0.000534578281136303
250 Pool 3	Metopolophium	0.156	0.0684705535800703	0.124324324324324	0.00615701615982594
250 Pool 3	Rhopalosiphum	0.344	0.322949060534012	0.192803268384664	0.0119307497784598
500 Pool 3	Acizzia	0.472	0.125646533654444	0.560844051694889	0.902817009583465
500 Pool 3	Bactericera	0.01	0.00496699751071894	0.00094074828043552	0.0115249059147814
500 Pool 3	Diuraphis	0.002	0	0	0
500 Pool 3	Metopolophium	0.158	0.121824431961097	0.0334004194812005	0.0309947858441215
500 Pool 3	Rhopalosiphum	0.358	0.747562036873741	0.404814780543475	0.0546632986576322
1000 Pool 3	Acizzia	0.476	0.16416912706813	0.757207862240178	0.921913885582675
1000 Pool 3	Bactericera	0.005	0.0117163389226227	0.00295843631770162	0.0177511477285023
1000 Pool 3	Diuraphis	0.001	0	0	0
1000 Pool 3	Metopolophium	0.159	0.171985961784859	0.0277795604921962	0.0313287372667831
1000 Pool 3	Rhopalosiphum	0.359	0.652128572224389	0.212054140949924	0.0290062294220395
100 Pool 4	Acizzia	0.49	0.279049602744503	0.750641641997835	0.963317165027796
100 Pool 4	Bactericera	0.01	0.00498572142163747	0.00308139578901145	0.00348050546672097
100 Pool 4	Diuraphis	0.05	0.0678020414125897	0.0152971994882006	0.0011266681829963
100 Pool 4	Metopolophium	0.3	0.218825103908466	0.127370668443327	0.0207772423606079
100 Pool 4	Rhopalosiphum	0.15	0.429337530512804	0.103609094281626	0.0112984189618784
250 Pool 4	Acizzia	0.5	0.409602719937604	0.363575503551054	0.958895683006919
250 Pool 4	Bactericera	0.004	0	0	0
250 Pool 4	Diuraphis	0.02	0.0234341958552809	0.00826638723949237	0.000474462057889614
250 Pool 4	Metopolophium	0.316	0.326933533996474	0.429037140528583	0.0331249661410594
250 Pool 4	Rhopalosiphum	0.16	0.240029550210641	0.199120968680871	0.0075048887941324
500 Pool 4	Acizzia	0.516	0.468469343534721	0.891882332488055	0.9680480508337
500 Pool 4	Bactericera	0.002	0.00100868213810726	0	0.000347858352079033
500 Pool 4	Diuraphis	0.01	0.00919021503608841	0.0010610938258727	0
500 Pool 4	Metopolophium	0.314	0.258880138675115	0.0376238692156898	0.0247118573316945
500 Pool 4	Rhopalosiphum	0.158	0.262451620615969	0.0694327044703823	0.00689223348252592
1000 Pool 4	Acizzia	0.518	0.138533887788204	0.799053966759036	0.904131005551013
1000 Pool 4	Bactericera	0.001	0.00786324414157468	0.000434680238349664	0.00680214809001598
1000 Pool 4	Diuraphis	0.005	0.00320045285319283	0.00145798996613116	0
1000 Pool 4	Metopolophium	0.317	0.484973837567946	0.0554126745512832	0.0744579441940348
1000 Pool 4	Rhopalosiphum	0.159	0.365428577649082	0.1436406884852	0.0146089021649362
100 Pool 5	Acizzia	0.5	0.271484574008827	0.714815869969412	0.918571345218457
100 Pool 5	Bactericera	0	0	0	0
100 Pool 5	Diuraphis	0	0	0	0
100 Pool 5	Metopolophium	0.25	0.431745418858697	0.194112487254843	0.072228381080694
100 Pool 5	Rhopalosiphum	0.25	0.296770007132476	0.0910716427757452	0.00920027370084921
250 Pool 5	Acizzia	0.5	0.203762953580047	0.467320119703344	0.857794877146283
250 Pool 5	Bactericera	0	0	0	0
250 Pool 5	Diuraphis	0	0	0	0
250 Pool 5	Metopolophium	0.252	0.5448857245815	0.423472264388255	0.127010710674921
250 Pool 5	Rhopalosiphum	0.248	0.251351321838453	0.109207615908401	0.0151944121787952
500 Pool 5	Acizzia	0.5	0.102342289989632	0.686702847965064	0.899212312066586
500 Pool 5	Bactericera	0	0	0	0
500 Pool 5	Diuraphis	0	0	0	0
500 Pool 5	Metopolophium	0.25	0.308149478647323	0.0450079255938947	0.0646805028639441
500 Pool 5	Rhopalosiphum	0.25	0.589508231363045	0.268289226441041	0.0361071850694703
1000 Pool 5	Acizzia	0.5	0.204134096297213	0.890062606613527	0.946309989255656
1000 Pool 5	Bactericera	0	0	0	0
1000 Pool 5	Diuraphis	0	0	0	0
1000 Pool 5	Metopolophium	0.25	0.289478778876945	0.0325072801004586	0.0373906912194831
1000 Pool 5	Rhopalosiphum	0.25	0.506387124825842	0.0774301132860146	0.0162993195248612
